restaurant,review,sentiment,polarity
"Tomatoes, Piplod",I was disappointed with the tomatoes today. They were a bit bruised and not as ripe as I expected for the price.,Negative,-0.425
"Tomatoes, Piplod","Love this place!  The selection of tomatoes is amazing, and they always seem to have exactly what I need.  Highly recommend!",Positive,0.41875
"Tomatoes, Piplod","The service is quick and efficient, which is appreciated when you're just grabbing a few tomatoes on your way home.",Positive,0.1111111111111111
"Tomatoes, Piplod","While the tomatoes are okay, the overall experience is nothing to write home about.  It's just a basic vegetable stall.",Positive,0.16666666666666666
"Tomatoes, Piplod","I've been coming here for years.  The quality of their tomatoes is consistently good, and the price is fair.  They're my go-to for tomatoes.",Positive,0.7
"Tomatoes, Piplod",The tomatoes were surprisingly tasteless. I've had better quality at the local market for a lower price.,Negative,-0.033333333333333326
"Tomatoes, Piplod","A very simple setup, but the tomatoes are always fresh and well-priced.  They know their produce!",Positive,0.1875
"Tomatoes, Piplod","Had a less than pleasant experience.  The staff was unhelpful and the tomatoes I bought weren't very ripe, resulting in a waste of money.",Positive,0.14166666666666666
"Level 5, Vesu",The food at Level 5 was surprisingly delicious!  The presentation was beautiful and the flavors were unique. Definitely worth a visit.,Positive,0.63125
"Level 5, Vesu","Service was a bit slow, even though the restaurant wasn't overly crowded.  The food itself was good, but the wait detracted from the experience.",Positive,0.19999999999999996
"Level 5, Vesu","Level 5 has a fantastic ambiance; very stylish and modern.  However, the prices are quite high for what you get.",Positive,0.3525
"Level 5, Vesu","Excellent food and great service!  We had a wonderful evening celebrating a birthday there, the staff were very attentive.",Positive,0.88
"Level 5, Vesu","I found the food to be average, nothing particularly special.  The ambiance was nice, though, so it was a pleasant enough evening.",Positive,0.3080952380952381
"Level 5, Vesu","The cocktails were amazing!  However, the main courses were a bit disappointing and lacked flavor.  Ambiance was great though.",Positive,0.2791666666666667
"Level 5, Vesu","While the restaurant is beautifully designed, the noise level was quite high, making conversation difficult. The food was decent.",Positive,0.16916666666666666
"Level 5, Vesu","Overall a good experience. The food was tasty and well-prepared, and the service was efficient.  A bit pricey, but worth it for a special occasion.",Positive,0.3392857142857143
"Level 5, Vesu","I was extremely disappointed with the service. Our server was inattentive and our order was wrong. The food was okay, but not enough to make up for it.",Negative,-0.1875
"Level 5, Vesu","The view from Level 5 is stunning!  The food was good, a little pricey, but the overall experience was elevated by the location and ambiance.",Positive,0.284375
